id,timestamp,full_sq,life_sq,floor,state,max_floor,material,build_year,num_room,kitch_sq,full_all,sub_area,price_doc
13324,2013-12-23,42.0,24,8.0,2.0,9.0,1.0,1969.0,2.0,6,43795,Pechatniki,7100000.0
10064,2013-08-26,55.0,32,4.0,3.0,5.0,2.0,1960.0,3.0,5,21040,Dorogomilovo,11500000.0
12022,2013-11-11,43.0,25,4.0,2.0,5.0,2.0,1960.0,2.0,5,157010,Ivanovskoe,5800000.0
10186,2013-08-30,62.0,35,15.0,2.0,22.0,1.0,1985.0,2.0,10,178264,Jasenevo,11400000.0
30052,2015-05-29,80.0,47,15.0,1.0,24.0,6.0,2017.0,3.0,12,76284,Nagatinskij Zaton,12697154.0
10073,2013-08-26,42.0,18,19.0,2.0,23.0,1.0,2006.0,1.0,10,83369,Rjazanskij,2000000.0
23912,2014-10-24,32.0,18,1.0,3.0,9.0,1.0,1970.0,1.0,6,145576,Caricyno,5700000.0
21173,2014-07-30,37.0,19,7.0,3.0,17.0,1.0,1986.0,1.0,7,123000,Kon'kovo,7850000.0
24816,2014-11-17,51.0,30,6.0,4.0,9.0,1.0,1969.0,3.0,5,157010,Ivanovskoe,9500000.0
17345,2014-04-14,37.0,19,5.0,3.0,16.0,1.0,1984.0,1.0,9,1318695,Vyhino-Zhulebino,6100000.0
12119,2013-11-14,79.0,46,9.0,1.0,17.0,1.0,2013.0,3.0,11,247469,Nekrasovka,7257928.0
19525,2014-06-09,75.0,44,15.0,2.0,16.0,1.0,1980.0,3.0,10,178264,Jasenevo,10800000.0
10412,2013-09-11,77.0,45,1.0,1.0,6.0,4.0,2014.0,3.0,11,13890,Poselenie Sosenskoe,7251160.0
16998,2014-04-04,36.0,19,10.0,3.0,17.0,1.0,1993.0,1.0,7,21155,Mitino,6650000.0
23333,2014-10-07,38.0,20,10.0,2.0,14.0,1.0,1997.0,1.0,8,85219,Matushkino,1100000.0
15177,2014-02-18,38.0,19,11.0,3.0,16.0,1.0,1981.0,1.0,8,65972,Ostankinskoe,8200000.0
27751,2015-02-05,43.0,25,5.0,2.0,5.0,2.0,1964.0,2.0,5,76284,Nagatinskij Zaton,6920000.0
23040,2014-09-29,73.0,42,4.0,3.0,17.0,1.0,1985.0,3.0,10,67710,Krylatskoe,15300000.0
10335,2013-09-07,55.0,32,12.0,2.0,16.0,1.0,1979.0,2.0,8,61396,Otradnoe,9000000.0
14915,2014-02-12,59.0,34,9.0,2.0,9.0,1.0,1970.0,3.0,5,157010,Ivanovskoe,7600000.0
21124,2014-07-28,34.0,19,3.0,3.0,12.0,5.0,1969.0,1.0,9,142462,Mozhajskoe,5800000.0
15587,2014-03-01,90.0,48,3.0,2.0,20.0,1.0,2004.0,3.0,11,90114,Teplyj Stan,17300000.0
11171,2013-10-11,30.0,17,5.0,3.0,5.0,2.0,1960.0,1.0,6,157010,Ivanovskoe,1200000.0
23257,2014-10-03,77.0,45,16.0,1.0,22.0,1.0,2016.0,3.0,11,39873,Poselenie Shherbinka,5615703.0
21856,2014-08-25,37.0,19,13.0,2.0,17.0,1.0,2006.0,1.0,7,27992,Juzhnoe Medvedkovo,7100000.0
30273,2015-06-16,77.0,45,20.0,2.0,22.0,1.0,1994.0,3.0,9,155572,Butyrskoe,14100000.0
5202,2012-12-11,34.0,19,12.0,2.0,18.0,3.0,1973.0,1.0,5,145088,Birjulevo Zapadnoe,4700000.0
29152,2015-04-16,44.0,25,1.0,3.0,9.0,1.0,1972.0,2.0,6,157010,Ivanovskoe,6500000.0
20901,2014-07-16,55.0,32,22.0,2.0,27.0,6.0,2006.0,2.0,7,155427,Horoshevo-Mnevniki,14050000.0
2592,2012-06-20,37.0,18,2.0,2.0,8.0,3.0,1977.0,1.0,5,129207,Orehovo-Borisovo Juzhnoe,5900000.0
14228,2014-01-28,66.0,38,5.0,1.0,6.0,4.0,2014.0,2.0,9,61039,Ramenki,10630400.0
5527,2012-12-27,38.0,22,12.0,2.0,13.0,3.0,2014.0,1.0,5,9553,Poselenie Voskresenskoe,3839320.0
11650,2013-10-29,43.0,25,4.0,1.0,12.0,1.0,2013.0,2.0,6,13890,Poselenie Sosenskoe,4546500.0
16741,2014-03-31,37.0,21,1.0,3.0,1.0,4.0,2014.0,1.0,5,9553,Poselenie Voskresenskoe,7820575.0
24833,2014-11-17,117.0,66,8.0,1.0,23.0,4.0,2010.0,3.0,12,21155,Mitino,6400000.0
18739,2014-05-22,94.0,52,8.0,1.0,20.0,1.0,2012.0,3.0,11,76156,Nagatino-Sadovniki,9000000.0
22886,2014-09-24,38.0,19,12.0,2.0,16.0,5.0,1976.0,1.0,10,94564,Golovinskoe,2000000.0
29606,2015-05-07,74.12555529576807,43,6.0,3.0,16.0,4.0,2000.0,3.0,25,67710,Krylatskoe,36500000.0
11146,2013-10-10,31.0,18,3.0,2.0,5.0,2.0,1966.0,1.0,5,3521,Savelovskoe,5950000.0
9952,2013-08-21,38.0,22,5.0,1.0,17.0,4.0,2015.0,1.0,10,247469,Nekrasovka,4033260.0
27705,2015-02-04,58.0,32,8.0,3.0,17.0,1.0,1989.0,2.0,10,85721,Brateevo,6000000.0
